trans_datetime,merchant,category,amt,gender,state,job,trans_num,is_fraud
1/1/2019 0:13,fraud_Bauch-Raynor,grocery_pos,57.34,M,MA,Market researcher,139a1bee15be607d79fe173bfcb2502a,0
1/1/2019 0:14,fraud_Harris Inc,gas_transport,50.79,M,IA,Probation officer,b9c4615bec3561c8e83b0c1d6c7028e2,0
1/1/2019 14:12,fraud_Kerluke PLC,misc_net,45.69,M,IL,Commercial/residential surveyor,759aed1f81d232f2e22fa02d8047950b,0
1/1/2019 14:13,fraud_Kub-Heaney,health_fitness,10.85,F,VA,"Teacher, English as a foreign language",86fc0bf4e98c32c2fffbd78591d96bab,0
1/1/2019 14:13,fraud_Medhurst PLC,shopping_net,2.62,M,NC,"Scientist, research (maths)",833096cbee33e6cddbb1dd827eedb5a6,0
1/1/2019 14:13,fraud_Flatley Group,misc_pos,6.76,F,WY,Product/process development scientist,b0eb5b54e67cef86627bff68103daa28,0
1/1/2019 14:13,fraud_Pouros-Conroy,shopping_pos,3.21,F,CA,Web designer,3e839ed419114679bd901cb01a595e49,0
1/1/2019 14:13,fraud_Beier-Hyatt,shopping_pos,5.18,M,IN,Community arts worker,b9ca78f7b83f25d2d063d16429a6645d,0
1/1/2019 14:13,fraud_Reilly LLC,home,41.46,M,TX,Web designer,3c4b96fa3bf98936098517ff94d3be91,0
1/1/2019 14:14,fraud_Cruickshank-Mills,entertainment,25.09,M,PA,Management consultant,a4cd688855b0cb85adb011ef482c6717,0
1/1/2019 14:14,"fraud_Runolfsdottir, Mueller and Hand",entertainment,40.75,M,TX,Exhibition designer,7d4f71c78267f01b54c92804a7aa1c80,0
1/1/2019 14:14,"fraud_Altenwerth, Cartwright and Koss",shopping_net,9.62,F,UT,"Surveyor, minerals",da5b0dd77b29ff6da78ca79f95e030b2,0
1/1/2019 14:14,fraud_McKenzie-Huels,food_dining,1.57,F,PA,Energy manager,e448ead941a5df0a1829650e413fa329,0
1/1/2019 14:15,"fraud_Effertz, Welch and Schowalter",entertainment,67.86,M,PA,Orthoptist,a851947895d831bab0e608b4f3f6dec3,0
1/1/2019 14:15,fraud_Schoen-Quigley,kids_pets,316.87,F,MD,Clinical research associate,ff6357925635cfa17cc0f1821523f1b3,0
1/1/2019 14:15,fraud_Champlin-Casper,home,79.52,M,AL,"Librarian, academic",ec31d8b319bbb30c103e37677fefc65f,0
1/1/2019 14:16,fraud_Bednar PLC,kids_pets,38.45,F,KS,Chief Executive Officer,c6644b0342b0a47f9ee54751dbc9057d,0
1/1/2019 14:16,"fraud_Klocko, Runolfsdottir and Breitenberg",health_fitness,14.89,F,AR,"Scientist, audiological",3d138d54dde41cb372da672b2a3476d4,0
1/1/2019 14:16,fraud_Ruecker-Mayert,kids_pets,47.61,M,MT,Chartered loss adjuster,ad41b97a3179a3344fe7526ac4ded571,0
1/1/2019 14:16,fraud_Abbott-Steuber,personal_care,26.77,M,MI,"Designer, jewellery",d07a144af56f2d08269c6b43b6bdf6b7,0
1/1/2019 14:17,"fraud_Schroeder, Hauck and Treutel",entertainment,93.89,F,TX,Systems developer,a41f29f4f3a1345ef2ca669e084632ba,0
1/1/2019 14:17,"fraud_Cormier, Stracke and Thiel",entertainment,109.49,F,WY,Music therapist,31670e7c674cc710d079b49eece1d328,0
1/1/2019 14:20,"fraud_Reichert, Rowe and Mraz",shopping_net,304.13,F,NY,Chartered loss adjuster,97422296effe7a9e9e2796efa61e409f,0
1/1/2019 14:20,fraud_Spencer PLC,entertainment,75.88,M,NY,Science writer,5a9b26e5c24346422207d64d5cc8df7b,0
1/1/2019 14:21,fraud_Hamill-D'Amore,health_fitness,2.44,M,MI,Technical brewer,e03462233555a92e7e349bcec1455a10,0
1/1/2019 14:22,fraud_Kuhn LLC,misc_net,130.9,F,IL,"Psychotherapist, child",3949a27ed9d07e320104b2faf9038e11,0
1/1/2019 14:22,fraud_Lemke-Gutmann,shopping_net,3.49,F,AZ,Contractor,8ce31e2f24c96575cf55a89c830de3f2,0
1/1/2019 14:22,"fraud_Graham, Hegmann and Hammes",food_dining,61.27,M,OH,Museum/gallery conservator,a6921364d359e90ed98690877d7adbde,0
1/1/2019 14:23,fraud_Reilly and Sons,health_fitness,96.86,F,LA,Community education officer,0e4e74038edab23b0a490340cc59e178,0
1/1/2019 14:24,fraud_Stark-Koss,home,181.45,M,NJ,"Radiographer, diagnostic",86a34b2fa99f85a07389e2e330f9f060,0
1/1/2019 14:24,fraud_O'Keefe-Wisoky,food_dining,1.54,F,AR,Manufacturing engineer,cde21abc8917a7c9d7812b40194ae87d,0
1/1/2019 14:24,fraud_Daugherty LLC,kids_pets,84.46,M,SD,Multimedia programmer,d1725cee56f7ae7c2a75e6fe4cda9c9d,0
1/1/2019 14:25,"fraud_Larkin, Stracke and Greenfelder",entertainment,60.93,F,OH,Mechanical engineer,176e2b2b89de56364d6eac9d322458c0,0
1/1/2019 14:25,fraud_Torp-Lemke,misc_pos,108.54,F,IN,"Psychologist, forensic",ef3bf221feec64e27a18e2c8c52522c5,0
1/1/2019 14:25,"fraud_Denesik, Powlowski and Pouros",home,14.78,F,VA,"Teacher, English as a foreign language",7e5b00136d665050598dabf406ef5b8c,0
1/1/2019 14:26,"fraud_Romaguera, Wehner and Tromp",kids_pets,32.16,M,MS,"Exhibitions officer, museum/gallery",ed66253f539f8485acb2e4d855cb0eca,0
1/1/2019 14:27,fraud_Rippin-VonRueden,health_fitness,1.75,F,ND,Industrial/product designer,836b98a6d77d5ec2dcac9ec5ea6914c3,0
1/1/2019 14:27,fraud_Heller PLC,health_fitness,9.69,M,NJ,Insurance risk surveyor,3cd1fc7a0c6cd664d27bea7756090d15,0
1/1/2019 14:28,fraud_Kris-Padberg,shopping_pos,3.09,M,FL,"Engineer, land",5e9f40387cfbc070dcba6302420eba92,0
1/1/2019 14:28,fraud_Hills-Boyer,personal_care,200.49,F,NY,Herbalist,2039dc29ccbaea9ecde978052d2e4b76,0
1/1/2019 14:28,fraud_Balistreri-Nader,misc_pos,12.8,M,MN,Chief Strategy Officer,657d6ffd56c30070771429dcccfe12ff,0
1/1/2019 14:31,fraud_Cormier LLC,shopping_net,3.73,M,AL,Educational psychologist,f8bc717f13fd65dcf9c82513569e39ee,0
1/1/2019 14:31,fraud_Erdman-Ebert,personal_care,36.37,F,NY,Film/video editor,a01044e85bca58e6e6c5a8fdabe0c844,0
1/1/2019 14:32,fraud_Kemmer-Buckridge,misc_pos,427.99,M,UT,Location manager,0d80c1883d162c75693f44cdceaee9ce,0
1/1/2019 14:33,"fraud_Bahringer, Schoen and Corkery",shopping_pos,2.23,M,MS,"Exhibitions officer, museum/gallery",0e69085479b00ccacffe06a5fc4cbd73,0
1/1/2019 14:33,fraud_Bogisich-Weimann,kids_pets,42.52,F,AL,Chemical engineer,4a964ababee2cb4830caca4735781f37,0
1/1/2019 14:33,"fraud_Swaniawski, Nitzsche and Welch",health_fitness,76.7,M,PA,"Administrator, education",a0e07144ecff128f953d3fa53396d8a3,0
1/1/2019 14:33,"fraud_Gutmann, McLaughlin and Wiza",home,29.35,M,MS,Financial trader,acedfb9706d4a018158cfdeca9795f51,0
1/1/2019 14:34,"fraud_Hagenes, Kohler and Hoppe",food_dining,31.19,F,NJ,Science writer,435abb30825fb92190805a3e31a19462,0
1/1/2019 14:35,fraud_Little Ltd,kids_pets,19.07,F,WA,Osteopath,fcb650144928aa110865e80724c608e2,0
1/1/2019 14:35,fraud_Bode-Rempel,kids_pets,28.6,F,TN,Prison officer,04b15bb8145b48a8c0a134e22761fc22,0
1/1/2019 14:36,"fraud_Kutch, Steuber and Gerhold",food_dining,36.31,M,NJ,Mechanical engineer,d3c1ed87e9e9bff670d7a2b336980f54,0
1/1/2019 14:36,fraud_Kutch-Ferry,home,13.01,M,ME,Tourist information centre manager,87d8b15e9d4faac1e709e79f5d35f026,0
1/1/2019 14:36,fraud_Botsford and Sons,home,19,F,SC,Animal technologist,c931bb39a21e5ed8a4bcc39dbdcc1c6a,0
1/1/2019 14:38,fraud_Runte-Mohr,food_dining,24.27,F,TX,"Physicist, medical",438c0bc2afcf23b6f1169d41041f2e6a,0
1/1/2019 14:38,fraud_Kessler Inc,travel,6.56,F,ME,Animal nutritionist,cbded4b144dd6743c3035208b2c52838,0
1/1/2019 14:38,fraud_Deckow-Dare,food_dining,50.74,M,NM,Naval architect,1e81ed0abec50d580b142adfb12b1159,0
1/1/2019 14:39,fraud_Rolfson-Kunde,personal_care,62.67,M,IA,Administrator,16237a6d8eee7bd5599e048b7d62a37f,0
1/1/2019 14:39,"fraud_Roob, Conn and Tremblay",shopping_pos,127.32,F,AR,Manufacturing engineer,73399cd13031c93cc82eaeff09369702,0
1/1/2019 14:39,fraud_Marvin-Lind,personal_care,2.81,F,WV,Statistician,3a87f36dcccce45ce5128b0bf71c75f6,0
1/1/2019 14:40,fraud_Medhurst Inc,home,29.5,M,MT,"Therapist, horticultural",81f6f42f4ce1ee1fa3470a321118396f,0
1/1/2019 14:40,fraud_O'Hara-Wilderman,food_dining,5.24,F,AZ,Contractor,305863ab779e819ab1027b2e240be39d,0
1/1/2019 14:40,fraud_Beer-Jast,kids_pets,149.21,F,SD,Hospital pharmacist,b111d22d4b06e02d9c145f28d7858a43,0
1/1/2019 14:40,fraud_Barrows PLC,shopping_pos,4,F,MO,Electronics engineer,5dc420ce15d678f98d713a3083d157dd,0
1/1/2019 14:41,"fraud_Schneider, Hayes and Nikolaus",food_dining,36.6,M,UT,Location manager,b832c6e87885377cd2ca4ca99e54c1a3,0
1/1/2019 14:41,fraud_Kulas Group,health_fitness,38.82,F,ND,Industrial/product designer,7ab0257011c6a02eb4bfca3125a3af08,0
1/1/2019 14:42,"fraud_Berge, Kautzer and Harris",personal_care,55.49,F,FL,"Librarian, public",b8f727c54231391a84b08251e1803bab,0
1/1/2019 14:43,"fraud_Turcotte, Batz and Buckridge",health_fitness,24.04,M,IA,Estate manager/land agent,dd7b335baef2c0d34b9793f47cb17432,0
1/1/2019 14:43,fraud_Abbott-Rogahn,entertainment,74.63,M,NE,"Solicitor, Scotland",dbe29230128b03874e77d7a046e93c28,0
1/1/2019 14:44,fraud_Swift PLC,kids_pets,16.98,F,SC,Animal technologist,1009085eb3bfaf5bf1d72c51f7a87207,0
1/1/2019 14:45,fraud_Breitenberg-Hermiston,kids_pets,29.35,M,MI,Historic buildings inspector/conservation officer,f0991f23143aa68c47c0fe7361fb0622,0
1/1/2019 14:45,fraud_O'Hara-Wilderman,food_dining,57.44,M,MT,Chief of Staff,e2e402d50e321519095dfbade497d828,0
1/1/2019 14:46,fraud_Mosciski Group,travel,2.48,M,FL,Plant breeder/geneticist,b35433ec392e626657dc6df53f556714,0
1/1/2019 14:46,fraud_Jacobi Inc,health_fitness,39.8,M,AR,Financial adviser,11d8102f19274326c2e574d17a1415ff,0
1/1/2019 14:46,fraud_Bins-Howell,personal_care,8.39,F,TX,"Engineer, production",e94545cafe5c6d2b1180f7e8b100d43b,0
1/1/2019 14:47,fraud_Schumm PLC,health_fitness,122.82,F,TX,Sports development officer,a41f51362b76e5d00807871c5a5d7004,0
1/1/2019 14:47,fraud_Emmerich-Rau,personal_care,13.5,F,OH,"Investment banker, corporate",dac26321ad1496ee6d7200f3ef6fc86a,0
1/1/2019 14:48,fraud_Ziemann-Waters,health_fitness,55.51,F,WV,Sub,5531e6a4cd8bbec5ac4cd354a0b4a927,0
1/1/2019 14:48,"fraud_Goyette, Howell and Collier",shopping_pos,7.91,F,VT,"Scientist, marine",4beb05c7e787d75c662a83c4efd3d2e5,0
1/1/2019 14:48,fraud_Volkman-Predovic,shopping_net,3.82,M,CA,"Editor, magazine features",f8fcbe680196c1788119048a05e62bcb,0
1/1/2019 14:48,"fraud_Reinger, Weissnat and Strosin",food_dining,71.36,M,ME,"Engineer, electronics",9a4fce0908b928c084cd015de9da9a65,0
1/1/2019 14:49,fraud_Lind-Buckridge,entertainment,48.95,F,RI,"Nurse, children's",5e4246de0dd3bee24afa74d480b8d93c,0
1/1/2019 14:49,"fraud_Heathcote, Yost and Kertzmann",shopping_net,7.46,F,SC,Research scientist (physical sciences),f3c3fc9321b3f70286237b4e2c75e061,0
1/1/2019 14:50,fraud_Dibbert-Green,entertainment,1.6,F,SC,Magazine features editor,bfbec44c30ba21d86d0742949761ee86,0
1/1/2019 14:50,fraud_Will Ltd,food_dining,1.62,F,ND,Film/video editor,318b966a85ab12a3a5197ab927ca9fe0,0
1/1/2019 14:50,fraud_Kutch-Wilderman,home,27.4,F,MO,Occupational hygienist,5bdf9866c05ace7166084487071d38cd,0
1/1/2019 14:51,fraud_Runte-Mohr,food_dining,89.8,F,MS,Trading standards officer,ce1266a8ff1375377c8988152391a0b7,0
1/1/2019 14:52,"fraud_Dare, Fritsch and Zboncak",health_fitness,121.51,M,NY,Chartered accountant,7cff4f91385c7ec11fcb0bb454316ee6,0
1/1/2019 14:53,fraud_Thiel PLC,misc_pos,438.76,M,TX,Site engineer,ad8690c46e6805fd50b7832dd6153c0a,0
1/1/2019 14:54,fraud_Pagac LLC,shopping_pos,183.68,F,IN,"Psychologist, forensic",d42f7a08870ee38e8008d4279fb95ec1,0
1/1/2019 14:54,"fraud_Prosacco, Kreiger and Kovacek",home,74.35,F,PA,Special educational needs teacher,43edf621eafcba898573312a81ba12c9,0
1/1/2019 14:54,"fraud_Moore, Dibbert and Koepp",misc_net,115.91,F,IL,"Psychotherapist, child",4c55984102607834299bb2f2c68520d7,0
1/1/2019 14:55,"fraud_Quitzon, Green and Bashirian",shopping_pos,26.22,F,NY,Records manager,85909f2a27e75e175b8bd8c81b028599,0
1/1/2019 14:55,fraud_Ratke and Sons,health_fitness,145,F,MO,Agricultural consultant,fb42930f205e910428d5b32945480a86,0
1/1/2019 14:55,"fraud_Hermiston, Russel and Price",food_dining,5.32,M,OK,"Psychotherapist, child",f42bb61a66b3954ec327fb8d921873f3,0
1/1/2019 14:56,fraud_Schmidt-Larkin,home,31.81,F,OR,Systems analyst,aa6d936b883e37739bb4c1a8aad20d93,0
1/1/2019 14:57,fraud_Leannon-Ward,food_dining,16.72,F,KS,Film/video editor,0a013c2622c3842b6569991205982498,0
1/1/2019 14:57,fraud_Baumbach Ltd,personal_care,16.25,M,AK,"Administrator, education",4defe0f56d55e1abfc523be52630093e,0
1/1/2019 14:58,fraud_Bahringer-Streich,food_dining,51.77,M,MI,"Engineer, automotive",6873b22c513acde0a0753c3eae1e5e04,0
1/1/2019 14:58,fraud_Fisher-Schowalter,shopping_net,6.06,M,WI,"Accountant, chartered public finance",060695b4e3310e43afdb318565b6a170,0
1/1/2019 14:59,"fraud_Lang, Towne and Schuppe",kids_pets,69.86,F,GA,"Conservator, museum/gallery",a37ae2143b9efb69380da1ca43e836a7,0
1/1/2019 14:59,"fraud_Weber, Thiel and Hammes",kids_pets,8.33,M,WV,Special effects artist,d8fc18357d9f0f7dccefde3e75fbf4e0,0
1/1/2019 14:59,fraud_Abbott-Steuber,personal_care,140.48,M,PA,Armed forces logistics/support/administrative officer,7e6f458b574415eacc49e1b6001e309e,0
1/1/2019 15:00,"fraud_Hahn, Bahringer and McLaughlin",personal_care,101.52,F,OH,"Engineer, biomedical",55562de77096550aae0b1508167220ef,0
1/1/2019 15:00,"fraud_Koss, Hansen and Lueilwitz",home,75.33,F,SC,Biomedical scientist,3432d82af08045fb46f90da2cf8f3aa6,0
1/1/2019 15:00,"fraud_Roberts, Ryan and Smith",personal_care,16.32,F,AR,"Physicist, medical",87a8cc887f291a45ffc4edabac09c189,0
1/1/2019 15:00,"fraud_Yost, Schamberger and Windler",kids_pets,63.92,M,OH,Secondary school teacher,7e300d521e7d3be417432f903637813f,0
1/1/2019 15:01,fraud_Prosacco LLC,personal_care,64.21,F,TX,Radio producer,250f9fe6ef562b8a1d16764f40b1e7a8,0
1/1/2019 15:01,fraud_Rolfson-Kunde,personal_care,9.39,F,NC,Call centre manager,93e3c968e785af0e7fd0a10c54e58de0,0
1/1/2019 15:01,"fraud_Hintz, Bauch and Smith",health_fitness,101.77,F,CO,Water engineer,cd3fab99e598e976cc13e154bc775437,0
1/1/2019 15:01,fraud_Hickle Group,shopping_pos,126.78,M,CA,Immigration officer,72b97b6f31c2a408e7f752f11d1fb5f0,0
1/1/2019 15:01,fraud_Mohr Inc,shopping_pos,6.39,M,WI,"Engineer, production",68d7d89fcad24384d4c4b8a2927b3cd7,0
1/1/2019 15:01,"fraud_Monahan, Hermann and Johns",travel,7.36,M,CO,Community arts worker,b0e217c08fcf199f24638d88e3c04aa4,0
1/1/2019 15:02,"fraud_Weimann, Kuhic and Beahan",shopping_pos,283.62,F,WI,Logistics and distribution manager,bd128e0dd48a466135c97eddb4bec780,0
1/1/2019 15:02,"fraud_Hermiston, Russel and Price",food_dining,7.62,M,OH,Facilities manager,fa64df6e3227c2206dd39d7dacc00d37,0
1/1/2019 15:02,"fraud_Weimann, Kuhic and Beahan",shopping_pos,9.17,F,TX,Building surveyor,d527381830d8eb7d94b9dcda60b6de69,0
1/1/2019 15:02,"fraud_Bahringer, Osinski and Block",food_dining,63.08,M,TX,Petroleum engineer,3e69a789694772f63fd8cab8fdfb1d13,0
1/1/2019 15:03,fraud_Daugherty LLC,kids_pets,26.85,F,AR,Surgeon,6142d2928c1e7c35d6c7cb9131dd586d,0
1/1/2019 15:03,"fraud_Medhurst, Labadie and Gottlieb",travel,508.97,M,WI,Television/film/video producer,84db56b4b3307737c948d08bfa508590,0
1/1/2019 15:03,fraud_McKenzie-Huels,food_dining,348.97,F,SC,Social researcher,aedfc9c4092ff4dee1ea11736a12e672,0
1/1/2019 15:03,"fraud_Koss, McLaughlin and Mayer",food_dining,40.17,F,OR,Barrister,3f63effe1091abfc64974e363bf6942d,0
1/1/2019 15:04,fraud_Cartwright PLC,kids_pets,33.3,F,MO,Counsellor,4b975ad05803d84c0675ecb5fbcf6dbe,0
1/1/2019 15:04,fraud_Bode-Schuster,kids_pets,3.18,F,WA,Public house manager,9386e6ea95432c29bb371cf82fa1f98d,0
1/1/2019 15:05,fraud_Grimes LLC,entertainment,83.08,M,IL,Radio broadcast assistant,4e07df276addd033beb3b9d8e218e34a,0
1/1/2019 15:07,fraud_Bins-Howell,personal_care,194.34,F,MO,Electronics engineer,4324f6b08f62c5fb5ab08a5bc77d6b76,0
1/1/2019 15:07,"fraud_Douglas, DuBuque and McKenzie",travel,469.2,M,GA,Audiological scientist,c46030d5597e7cce016b8f1788a2e53d,0
1/1/2019 15:07,"fraud_Bernhard, Grant and Langworth",shopping_pos,1.28,M,AL,"Editor, commissioning",76d0cd587e7c7245c6d6fa3279b1a563,0
1/1/2019 15:08,fraud_Halvorson Group,misc_pos,4.52,F,MD,Regulatory affairs officer,263306eba48d8f57eecc65af16287d5e,0
1/1/2019 15:08,fraud_Hackett Group,travel,8.47,F,AR,Psychiatric nurse,fc3b959aadf761ae3a0db7b1256e6cab,0
1/1/2019 15:08,"fraud_Schroeder, Wolff and Hermiston",travel,8.85,F,TX,"Physicist, medical",60e249d9d216ea42b2e9cecf693f9dc1,0
1/1/2019 15:08,fraud_Schmeler-Howe,personal_care,39.7,F,PA,Early years teacher,42864835d4b48a96a7b9d5b2fe5c483e,0
1/1/2019 15:09,fraud_Larson-Moen,entertainment,78.51,M,CA,Systems analyst,bb99744d4d65442635bef90a7375adc9,0
1/1/2019 15:10,fraud_Predovic Inc,shopping_net,6.5,F,NY,Psychotherapist,bcbd7d0179d05e322dfe3b83511dcfe8,0
1/1/2019 15:10,fraud_Langworth LLC,personal_care,29.27,F,NY,"Librarian, public",59e7e640005f358283f494154c20b6be,0
1/1/2019 15:10,fraud_Bartoletti and Sons,personal_care,65.09,M,VA,"Geologist, engineering",753a18a2e9d169a0a4efc169cb519970,0
1/1/2019 15:11,fraud_Bernier and Sons,kids_pets,74.62,F,TX,Financial adviser,62b75c923c2d5be25a820b3d9fb804bd,0
1/1/2019 15:11,"fraud_Hettinger, McCullough and Fay",home,1.11,F,TX,Barrister,2ecd39e8c8014524a587da782c43ee0c,0
1/1/2019 15:12,fraud_White and Sons,home,77.34,M,PA,Oceanographer,7c59bf1aff99c513f0bdcb3b9b5a1cef,0
1/1/2019 15:12,fraud_Klocko LLC,misc_net,126.38,M,NC,Paramedic,0ac66bf296bedba3f795a05fe9c260f0,0
1/1/2019 15:12,fraud_Beier-Hyatt,shopping_pos,7.11,M,IA,IT trainer,36e4fc9d2408e37f02fc8e6f6bdbf328,0
1/1/2019 15:12,fraud_Bernhard-Lesch,food_dining,41.2,M,PA,Nutritional therapist,b7d48dbecf1a6a079101e0f1b92f9ca5,0
1/1/2019 15:13,fraud_Weber and Sons,food_dining,73.43,M,SD,Bookseller,3304e1001fac03d8a5e78789731af34e,0
1/1/2019 15:14,fraud_Dickinson-Rempel,misc_pos,8.96,F,IN,Counsellor,e56af69ecba86599d02253234169655e,0
1/1/2019 15:14,fraud_Hills-Witting,shopping_net,19.45,F,WV,Statistician,098e4607bd290a274d9772acc5860de8,0
1/1/2019 15:15,fraud_Satterfield-Lowe,travel,3.11,F,ME,Make,97f4a71374150900c61097ff03411363,0
1/1/2019 15:15,fraud_Breitenberg-Hermiston,kids_pets,56.67,F,SC,Magazine features editor,90ddd940c207d07737c608863143bb4b,0
1/1/2019 15:15,fraud_Jakubowski Inc,home,18.13,F,IA,Engineering geologist,c2362c7f40a6093591829a752efce938,0
1/1/2019 15:16,"fraud_Runte, Green and Emard",health_fitness,14.74,M,MD,Energy engineer,e5fe4dcfddff95ff1ebaefc82f09de06,0
1/1/2019 15:16,fraud_Daugherty LLC,kids_pets,35.73,F,CA,Podiatrist,d717895c2edd4194db593042115b5ffb,0
1/1/2019 15:16,fraud_Kutch-Wilderman,home,13.1,M,NM,"Therapist, art",8aad33aa0bb9b8b8a0acc19c8ead3d78,0
1/1/2019 15:17,"fraud_Swaniawski, Lowe and Robel",shopping_pos,3.54,F,NC,Dispensing optician,69aae23e092169bd36e016673879eb1c,0
1/1/2019 15:17,"fraud_Bahringer, Bergnaum and Quitzon",home,33.6,F,SC,Technical brewer,d3836b9fb69ff5dbcd174c2f94287dc5,0
1/1/2019 15:17,fraud_Gleason-Macejkovic,shopping_net,178.85,F,SC,Biomedical scientist,40c41da5c1862eb62cb5bc46d67d0e61,0
1/1/2019 15:17,fraud_Kling-Ernser,entertainment,32.21,M,NY,Radio producer,8e0985f10a18b0f3b9a76e29041d4693,0
1/1/2019 15:18,fraud_Bernier and Sons,kids_pets,13.62,F,TX,Building surveyor,e2547a7d780a4424ee16ac1e280e3598,0
1/1/2019 15:18,fraud_Gaylord-Powlowski,home,5.95,F,WV,Statistician,12155b55961c38b4b67add2a0a5d187e,0
1/1/2019 15:19,fraud_Kerluke-Abshire,shopping_net,7.84,M,NJ,Health promotion specialist,c954b4f523709646ae6d3d315179a769,0
1/1/2019 15:19,fraud_Beier and Sons,home,30.94,F,WV,Physiotherapist,83cfc663d3fc82a2973d55a4febaf892,0
1/1/2019 15:20,fraud_Weimann-Lockman,kids_pets,32.23,F,KS,Arboriculturist,743399add054197905cf29108188f8f8,0
1/1/2019 15:20,fraud_Connelly-Carter,home,19.62,F,FL,Waste management officer,bca38cc00b33caeff86ae36d8b3bed58,0
1/1/2019 15:20,fraud_Keeling-Crist,misc_pos,7.95,M,MD,Operations geologist,a1ca818b82860f5467c9a64e8f4b018b,0
1/1/2019 15:21,fraud_Stark-Batz,entertainment,157.47,M,MD,Company secretary,0213cbd465d7bfefbf3774018ea58920,0
1/1/2019 15:21,fraud_Terry Ltd,home,66.81,M,FL,Plant breeder/geneticist,b858ce7f236a363db8bfb9de8031ce6f,0
1/1/2019 15:21,"fraud_Lowe, Dietrich and Erdman",kids_pets,102.59,M,MI,Water quality scientist,0e2ed59ab5832cfde02873255436f79f,0
1/1/2019 15:21,fraud_Jast Ltd,shopping_net,4.65,F,FL,"Librarian, public",b8708c103bf1f778edcfc3c0040e824e,0
1/1/2019 15:21,"fraud_Yost, Schamberger and Windler",kids_pets,21.86,M,NY,Metallurgist,27bddb038a4fb37502d0d83ec86d74bf,0
1/1/2019 15:23,fraud_Cartwright PLC,kids_pets,50.31,F,KS,Probation officer,2a1e4ad5443453bbbb0bb0914150ce31,0
1/1/2019 15:23,"fraud_Welch, Rath and Koepp",entertainment,20.84,M,IA,Agricultural consultant,ab7208f7000df5108e7ca607c17c2d3d,0
1/1/2019 15:23,"fraud_Becker, Harris and Harvey",personal_care,62.47,M,MD,Podiatrist,ec0a0c551b9e801f30397d9173ffed0a,0
1/1/2019 15:23,fraud_Maggio-Fahey,misc_pos,8.64,M,MI,"Doctor, hospital",c471b2087ec857eea275a4a1660c4e20,0
1/1/2019 15:24,fraud_Watsica LLC,personal_care,13.07,F,MO,Production manager,1008b908e070155419a41539111056ae,0
